Date,Prices
37405,1514.33
37406,1510.25
37407,1513.77
37410,1476.26
37411,1476.28
37412,1489.88
37413,1460.5
37414,1458.21
37417,1462.78
37418,1438.47
37419,1448.16
37420,1433.01
37421,1429.78
37424,1470.84
37425,1472.25
37426,1447.98
37427,1428.55
37428,1404.19
37431,1409.3
37432,1385.76
37433,1382.78
37434,1407.11
37435,1405.93
37438,1375.87
37439,1346.96
37440,1355.4
37442,1405.2
37445,1388.44
37446,1354.23
37447,1308.3
37448,1318.18
37449,1309.68
37452,1304.76
37453,1280.78
37454,1287.98
37455,1253.21
37456,1205.16
37459,1165.48
37460,1133.99
37461,1199.01
37462,1192.28
37463,1212.41
37466,1278.1
37467,1283.62
37468,1296.34
37469,1258.22
37470,1229.19
37473,1187.07
37474,1222.59
37475,1247.28
37476,1288.12
37477,1292.94
37480,1286.08
37481,1258.36
37482,1309.04
37483,1324.32
37484,1322.36
37487,1353.63
37488,1334.7
37489,1351.82
37490,1370.85
37491,1339.78
37494,1349.88
37495,1331.19
37496,1307.28
37498,1304.85
37502,1250.68
37503,1273.03
37504,1252.77
37505,1273.88
37508,1286.79
37509,1296.23
37510,1296.25
37511,1264.42
37512,1268.57
37515,1270.45
37516,1245.39
37517,1239.7
37518,1202.46
37519,1205.42
37522,1188.76
37523,1168.22
37524,1197.56
37525,1219.6
37526,1180.28
37529,1163.04
37530,1209.59
37531,1181.32
37532,1168.56
37533,1142.36
37536,1120.51
37537,1139.9
37538,1108.91
37539,1147.8
37540,1192.63
37543,1201.37
37544,1258.24
37545,1228.01
37546,1255.42
37547,1262.84
37550,1284.73
37551,1271.08
37552,1279.63
37553,1260.17
37554,1281.81
37557,1271.2
37558,1259.79
37559,1272.25
37560,1265.41
37561,1287.13
37564,1297.69
37565,1307.8
37566,1320.04
37567,1290.15
37568,1278.94
37571,1252.42
37572,1262.14
37573,1261.97
37574,1293.21
37575,1301.28
37578,1287.79
37579,1282.61
37580,1307.61
37581,1335.74
37582,1331.16
37585,1334.52
37586,1306.79
37587,1343.47
37589,1339.89
37592,1337.34
37593,1317.64
37594,1313.53
37595,1297.8
37596,1305.98
37599,1277.05
37600,1294.91
37601,1295.91
37602,1291.16
37603,1273.83
37606,1303.85
37607,1293.26
37608,1276.36
37609,1266.79
37610,1283.25
37613,1285.6
37614,1278.58
37616,1274.55
37617,1254.65
37620,1260.42
37621,1261.18
37623,1303.17
37624,1302.55
37627,1331.82
37628,1323.17
37629,1304.95
37630,1330.3
37631,1330.29
37634,1328.5
37635,1336.24
37636,1317.18
37637,1312
37638,1293.63
37642,1273.31
37643,1260.16
37644,1273.04
37645,1235.84
37648,1215.86
37649,1231.74
37650,1240.31
37651,1212.23
37652,1228.14
37655,1234.78
37656,1217.4
37657,1211.04
37658,1203.58
37659,1191.46
37662,1200.51
37663,1190.83
37664,1176.15
37665,1174.43
37666,1199.61
37670,1223.11
37671,1214.66
37672,1203.18
37673,1219.1
37676,1196.71
37677,1205.32
37678,1189.98
37679,1204.11
37680,1209.71
37683,1200.6
37684,1182.17
37685,1193.87
37686,1182.82
37687,1192.61
37690,1161.85
37691,1152.15
37692,1157.61
37693,1197.56
37694,1199.55
37697,1242.09
37698,1247.39
37699,1258.37
37700,1260.76
37701,1289.74
37704,1244.31
37705,1259.44
37706,1252.59
37707,1250.71
37708,1243.51
37711,1221.46
37712,1236.3
37713,1268.82
37714,1262.43
37715,1265.9
37718,1267.48
37719,1265.57
37720,1247.99
37721,1256.04
37722,1251.4
37725,1275.82
37726,1283.96
37727,1268.28
37728,1287.99
37732,1285.72
37733,1313.63
37734,1324.68
37735,1313.75
37736,1295.57
37739,1318.85
37740,1323.26
37741,1322.07
37742,1321.39
37743,1341.28
37746,1336.24
37747,1347.54
37748,1340.87
37749,1327.42
37750,1346.68
37753,1363.61
37754,1359.74
37755,1355.76
37756,1366.58
37757,1363.32
37760,1329.38
37761,1327.87
37762,1333.33
37763,1345.53
37764,1347.49
37768,1373.86
37769,1376.57
37770,1371.51
37771,1391.72
37774,1396.7
37775,1403.29
37776,1424.9
37777,1430.63
37778,1427.27
37781,1410.21
37782,1423.11
37783,1441.86
37784,1443.41
37785,1429.11
37788,1461.15
37789,1462.48
37790,1460.32
37791,1438.09
37792,1439.54
37795,1419.24
37796,1421.86
37797,1410.09
37798,1425.82
37799,1411.96
37802,1409.48
37803,1421.03
37804,1437.61
37805,1425.96
37809,1453.07
37810,1458.51
37811,1450.51
37812,1430.96
37813,1444.7
37816,1453
37817,1448.02
37818,1438.85
37819,1421.11
37820,1437.88
37823,1416.88
37824,1430.35
37825,1431.1
37826,1420.95
37827,1445.7
37830,1442.58
37831,1432.31
37832,1429.9
37833,1434.33
37834,1419.64
37837,1423.51
37838,1398.42
37839,1401.01
37840,1411.26
37841,1416.3
37844,1421.01
37845,1435.17
37846,1426.55
37847,1435.95
37848,1436.43
37851,1449.65
37852,1453.45
37853,1450.6
37854,1454.98
37855,1440.16
37858,1441.11
37859,1445.5
37860,1445.84
37861,1454.7
37862,1462.3
37866,1482.61
37867,1489.25
37868,1491.77
37869,1482.24
37872,1497.22
37873,1484.93
37874,1467.29
37875,1475.71
37876,1478.93
37879,1473.43
37880,1494.5
37881,1489.69
37882,1509.47
37883,1504.74
37886,1485.16
37887,1494.19
37888,1465.66
37889,1457.09
37890,1448.03
37893,1462.2
37894,1446.77
37895,1479.23
37896,1482.36
37897,1496.32
37900,1502.86
37901,1510.05
37902,1502.65
37903,1509.86
37904,1509
37907,1519.6
37908,1525.6
37909,1521.95
37910,1526.8
37911,1511.18
37914,1518.97
37915,1520.93
37916,1498.28
37917,1503.26
37918,1496.19
37921,1499.43
37922,1522.21
37923,1524.41
37924,1523.12
37925,1528.62
37928,1540.71
37929,1532.34
37930,1530.54
37931,1539.75
37932,1533.02
37935,1524.26
37936,1523.47
37937,1541.49
37938,1541.3
37939,1529.83
37942,1520.07
37943,1506.32
37944,1518.51
37945,1505.76
37946,1508.21
37949,1532.68
37950,1535.49
37951,1542.39
37953,1542.07
37956,1559.5
37957,1554.41
37958,1552.09
37959,1559.47
37960,1547.51
37963,1558.96
37964,1545.68
37965,1544.31
37966,1562.23
37967,1566.5
37970,1557.66
37971,1568.02
37972,1570.15
37973,1588.9
37974,1588.19
37977,1594.43
37978,1598.93
37979,1596.05
37981,1598.74
37984,1619.16
37985,1619.59
37986,1622.94
37988,1618.05
37991,1638.1
37992,1640.3
37993,1644.6
37994,1652.83
37995,1638.13
37998,1646.03
37999,1637.33
38000,1650.96
38001,1653.2
38002,1664.57
38006,1663.02
38007,1676.07
38008,1670.73
38009,1667.26
38012,1687.44
38013,1670.9
38014,1648.43
38015,1657.09
38016,1652.72
38019,1658.79
38020,1659.92
38021,1646.29
38022,1649.35
38023,1670.14
38026,1666.16
38027,1674.55
38028,1693.03
38029,1684.92
38030,1675.86
38034,1692.22
38035,1684.89
38036,1678.01
38037,1673.71
38040,1669.2
38041,1666.42
38042,1673.34
38043,1675.63
38044,1675.7
38047,1691.9
38048,1681.88
38049,1685.17
38050,1690.83
38051,1693.76
38054,1679.74
38055,1670.07
38056,1645.79
38057,1621.21
38058,1641.42
38061,1617.91
38062,1627.03
38063,1646.29
38064,1644.21
38065,1625.84
