Date,SP500ClosedPrices,USTNoteClosedPrices
37259,1643.48,1.0725
37260,1653.69,1.0711
37263,1642.95,1.0780
37264,1637.48,1.0754
37265,1629.70,1.0778
37266,1631.72,1.0841
37267,1616.35,1.0929
37270,1606.20,1.0923
37271,1617.18,1.0959
37272,1591.04,1.0962
37273,1607.02,1.0889
37274,1591.08,1.0919
37278,1579.41,1.0906
37279,1591.94,1.0818
37280,1597.55,1.0833
37281,1599.14,1.0788
37284,1598.86,1.0788
37285,1553.23,1.0892
37286,1571.69,1.0842
37287,1595.35,1.0823
37288,1584.06,1.0871
37291,1544.89,1.0934
37292,1538.70,1.0943
37293,1529.68,1.0921
37294,1525.26,1.0900
37295,1547.94,1.0933
37298,1570.21,1.0915
37299,1563.95,1.0856
37300,1580.03,1.0844
37301,1577.29,1.0882
37302,1559.98,1.0954
37306,1530.58,1.0948
37307,1551.37,1.0938
37308,1527.34,1.0960
37309,1539.91,1.0982
37312,1567.59,1.0973
37313,1567.65,1.0908
37314,1569.01,1.0991
37315,1564.59,1.0953
37316,1600.02,1.0875
37319,1631.25,1.0858
37320,1620.37,1.0861
37321,1644.20,1.0822
37322,1636.86,1.0685
37323,1646.44,1.0612
37326,1652.04,1.0615
37327,1648.28,1.0628
37328,1632.46,1.0659
37329,1631.00,1.0553
37330,1649.56,1.0609
37333,1648.73,1.0639
37334,1655.44,1.0654
37335,1629.43,1.0554
37336,1631.93,1.0591
37337,1625.02,1.0565
37340,1601.21,1.0560
37341,1610.81,1.0615
37342,1619.45,1.0617
37343,1623.43,1.0562
37347,1622.23,1.0554
37348,1608.39,1.0624
37349,1592.60,1.0680
37350,1593.96,1.0699
37351,1588.88,1.0741
37354,1592.88,1.0705
37355,1582.36,1.0749
37356,1600.36,1.0727
37357,1562.52,1.0750
37358,1572.89,1.0793
37361,1560.92,1.0811
37362,1597.48,1.0770
37363,1594.32,1.0739
37364,1592.08,1.0767
37365,1593.07,1.0769
37368,1568.52,1.0790
37369,1558.79,1.0806
37370,1547.74,1.0846
37371,1545.40,1.0862
37372,1524.08,1.0897
37375,1508.75,1.0849
37376,1525.00,1.0872
37377,1538.65,1.0901
37378,1536.16,1.0870
37379,1520.44,1.0906
37382,1491.05,1.0900
37383,1486.57,1.0912
37384,1542.53,1.0780
37385,1520.39,1.0827
37386,1494.87,1.0865
37389,1522.80,1.0787
37390,1555.04,1.0741
37391,1546.73,1.0771
37392,1556.93,1.0833
37393,1569.17,1.0764
37396,1548.31,1.0821
37397,1531.32,1.0855
37398,1540.12,1.0886
37399,1555.82,1.0867
37400,1537.02,1.0872
37404,1523.89,1.0886
37405,1514.33,1.0941
37406,1510.25,1.0976
37407,1513.77,1.0961
37410,1476.26,1.0999
37411,1476.28,1.0979
37412,1489.88,1.0963
37413,1460.50,1.1023
37414,1458.21,1.0952
37417,1462.78,1.0986
37418,1438.47,1.1032
37419,1448.16,1.1049
37420,1433.01,1.1101
37421,1429.78,1.1187
37424,1470.84,1.1150
37425,1472.25,1.1163
37426,1447.98,1.1252
37427,1428.55,1.1206
37428,1404.21,1.1221
37431,1409.30,1.1174
37432,1385.77,1.1184
37433,1382.78,1.1249
37434,1407.11,1.1189
37435,1405.94,1.1197
37438,1375.88,1.1227
37439,1346.96,1.1270
37440,1355.40,1.1245
37442,1405.20,1.1161
37445,1388.44,1.1222
37446,1354.23,1.1280
37447,1308.30,1.1379
37448,1318.18,1.1360
37449,1309.68,1.1419
37452,1304.76,1.1376
37453,1280.78,1.1330
37454,1287.98,1.1326
37455,1253.21,1.1396
37456,1205.16,1.1471
37459,1165.48,1.1539
37460,1133.99,1.1584
37461,1199.01,1.1536
37462,1192.28,1.1603
37463,1212.41,1.1599
37466,1278.10,1.1458
